username,repo_name,stars,repo_url
mrdoob,three.js,90600,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,22100,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,19800,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,16600,https://github.com/ssloy/tinyrenderer
aframevr,aframe,15200,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14900,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13700,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10200,https://github.com/CesiumGS/cesium
metafizzy,zdog,9700,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8800,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,8400,https://github.com/isl-org/Open3D
blender,blender,8200,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6200,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6000,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5500,https://github.com/openscad/openscad
google,model-viewer,5500,https://github.com/google/model-viewer
spritejs,spritejs,5200,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,4900,https://github.com/jagenjo/webglstudio.js
