username,repo_name,stars,repo_url
public-apis,public-apis,235000,https://github.com/public-apis/public-apis
neovim,neovim,64599,https://github.com/neovim/neovim
tiangolo,fastapi,56500,https://github.com/tiangolo/fastapi
strapi,strapi,53000,https://github.com/strapi/strapi
hoppscotch,hoppscotch,50900,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,46600,https://github.com/ocornut/imgui
meilisearch,meilisearch,35600,https://github.com/meilisearch/meilisearch
slatedocs,slate,35100,https://github.com/slatedocs/slate
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
ccxt,ccxt,27800,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,27600,https://github.com/Binaryify/NeteaseCloudMusicApi
Kong,insomnia,27500,https://github.com/Kong/insomnia
httpie,httpie,27200,https://github.com/httpie/httpie
YMFE,yapi,25900,https://github.com/YMFE/yapi
encode,django-rest-framework,25300,https://github.com/encode/django-rest-framework
trpc,trpc,24100,https://github.com/trpc/trpc
littlecodersh,ItChat,23600,https://github.com/littlecodersh/ItChat
microsoft,api-guidelines,21200,https://github.com/microsoft/api-guidelines
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
directus,directus,20900,https://github.com/directus/directus
