username,repo_name,stars,repo_url
localstack,localstack,46600,https://github.com/localstack/localstack
serverless,serverless,44500,https://github.com/serverless/serverless
bregman-arie,devops-exercises,42100,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,24900,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,15600,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13800,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,13800,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,13600,https://github.com/aws/aws-cli
serverless-stack,sst,13400,https://github.com/serverless-stack/sst
mozilla,sops,12600,https://github.com/mozilla/sops
donnemartin,awesome-aws,11400,https://github.com/donnemartin/awesome-aws
caprover,caprover,10200,https://github.com/caprover/caprover
apereo,cas,10100,https://github.com/apereo/cas
aws,aws-cdk,10100,https://github.com/aws/aws-cdk
GoogleCloudPlatform,terraformer,9900,https://github.com/GoogleCloudPlatform/terraformer
aws,chalice,9700,https://github.com/aws/chalice
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,9000,https://github.com/aws/serverless-application-model
google,go-cloud,9000,https://github.com/google/go-cloud
infracost,infracost,8900,https://github.com/infracost/infracost
