username,repo_name,stars,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,102000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,80800,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,63600,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,47900,https://github.com/google/material-design-icons
Solido,awesome-flutter,46300,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,46000,https://github.com/wasabeef/awesome-android-ui
square,okhttp,43800,https://github.com/square/okhttp
android,architecture-samples,42500,https://github.com/android/architecture-samples
square,retrofit,41400,https://github.com/square/retrofit
dcloudio,uni-app,37900,https://github.com/dcloudio/uni-app
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36300,https://github.com/PhilJay/MPAndroidChart
laurent22,joplin,35300,https://github.com/laurent22/joplin
skylot,jadx,34000,https://github.com/skylot/jadx
airbnb,lottie-android,33800,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,33600,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33500,https://github.com/bumptech/glide
xitu,gold-miner,32200,https://github.com/xitu/gold-miner
