username,repo_name,stars,repo_url
ansible,ansible,57000,https://github.com/ansible/ansible
bregman-arie,devops-exercises,42100,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,27100,https://github.com/trailofbits/algo
StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,22300,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,13800,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12100,https://github.com/ansible/awx
easzlab,kubeasz,9000,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6800,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6800,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,6700,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,5800,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4900,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4600,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4100,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,4000,https://github.com/netbootxyz/netboot.xyz
litmuschaos,litmus,3600,https://github.com/litmuschaos/litmus
ansible-community,molecule,3500,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3400,https://github.com/opendevops-cn/opendevops
