username,repo_name,stars,repo_url
sindresorhus,awesome,249000,https://github.com/sindresorhus/awesome
vinta,awesome-python,163000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,127000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,99600,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,94900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,71100,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,67200,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,63600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,59500,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,54600,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,50600,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,50100,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,46600,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,46300,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,46000,https://github.com/wasabeef/awesome-android-ui
fffaraz,awesome-cpp,45300,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,44500,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42500,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,40500,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,38000,https://github.com/dypsilon/frontend-dev-bookmarks
