username,repo_name,stars,repo_url
bregman-arie,devops-exercises,42100,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,15600,https://github.com/pulumi/pulumi
microsoft,recommenders,15400,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,13800,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12800,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,12600,https://github.com/mozilla/sops
caprover,caprover,10200,https://github.com/caprover/caprover
google,go-cloud,9000,https://github.com/google/go-cloud
microsoft,computervision-recipes,8900,https://github.com/microsoft/computervision-recipes
infracost,infracost,8900,https://github.com/infracost/infracost
prowler-cloud,prowler,8000,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7100,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6600,https://github.com/node-formidable/formidable
Netflix,metaflow,6600,https://github.com/Netflix/metaflow
midwayjs,midway,6500,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,6000,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,5800,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5600,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5500,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,5300,https://github.com/nccgroup/ScoutSuite
