username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,135000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,66100,https://github.com/nvm-sh/nvm
junegunn,fzf,51500,https://github.com/junegunn/fzf
google,zx,37000,https://github.com/google/zx
starship,starship,33600,https://github.com/starship/starship
dylanaraps,pure-bash-bible,33200,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,33100,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,31800,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,31000,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28900,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27100,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,23500,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,21800,https://github.com/withfig/autocomplete
dylanaraps,neofetch,17700,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,16900,https://github.com/Nyr/openvpn-install
rbenv,rbenv,15000,https://github.com/rbenv/rbenv
faressoft,terminalizer,14000,https://github.com/faressoft/terminalizer
shelljs,shelljs,13800,https://github.com/shelljs/shelljs
powerline,powerline,13800,https://github.com/powerline/powerline
