username,repo_name,stars,repo_url
bitcoin,bitcoin,69000,https://github.com/bitcoin/bitcoin
ccxt,ccxt,27800,https://github.com/ccxt/ccxt
freqtrade,freqtrade,21300,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17800,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10200,https://github.com/solana-labs/solana
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,9800,https://github.com/bbfamily/abu
dvf,blockchain,7400,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6800,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6500,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6300,https://github.com/spesmilo/electrum
butor,blackbird,5700,https://github.com/butor/blackbird
btcsuite,btcd,5200,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4900,https://github.com/bitcoinjs/bitcoinjs-lib
btcpayserver,btcpayserver,4600,https://github.com/btcpayserver/btcpayserver
jesse-ai,jesse,4600,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4600,https://github.com/bitcoinj/bitcoinj
CryptoSignal,Crypto-Signal,4300,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4300,https://github.com/bisq-network/bisq
