username,repo_name,stars,repo_url
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,97000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,51000,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,45300,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,40300,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,37500,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,30200,https://github.com/carbon-language/carbon-lang
huihut,interview,28500,https://github.com/huihut/interview
microsoft,calculator,27000,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,26700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,24700,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,23900,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,21700,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,20500,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,19900,https://github.com/ethereum/solidity
dragonflydb,dragonfly,18800,https://github.com/dragonflydb/dragonfly
microsoft,vcpkg,18300,https://github.com/microsoft/vcpkg
gabime,spdlog,17500,https://github.com/gabime/spdlog
ssloy,tinyrenderer,16600,https://github.com/ssloy/tinyrenderer
catchorg,Catch2,16500,https://github.com/catchorg/Catch2
