username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,35000,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,23500,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,20800,https://github.com/refined-github/refined-github
darkreader,darkreader,16400,https://github.com/darkreader/darkreader
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
yetone,openai-translator,14200,https://github.com/yetone/openai-translator
unbug,codelf,13500,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,12700,https://github.com/wong2/chatgpt-google-extension
dailydotdev,daily,12300,https://github.com/dailydotdev/daily
Anarios,return-youtube-dislike,10900,https://github.com/Anarios/return-youtube-dislike
gildas-lormeau,SingleFile,10700,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10600,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,9900,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,8100,https://github.com/alyssaxuu/screenity
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6700,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6600,https://github.com/AutomaApp/automa
alyssaxuu,omni,6200,https://github.com/alyssaxuu/omni
dessant,buster,5800,https://github.com/dessant/buster
