username,repo_name,stars,repo_url
vercel,next.js,104000,https://github.com/vercel/next.js
rust-lang,rust,80100,https://github.com/rust-lang/rust
sveltejs,svelte,66900,https://github.com/sveltejs/svelte
webpack,webpack,62900,https://github.com/webpack/webpack
gatsbyjs,gatsby,54300,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,44300,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42200,https://github.com/parcel-bundler/parcel
babel,babel,42100,https://github.com/babel/babel
evanw,esbuild,35100,https://github.com/evanw/esbuild
vlang,v,33300,https://github.com/vlang/v
carbon-language,carbon-lang,30200,https://github.com/carbon-language/carbon-lang
markedjs,marked,29500,https://github.com/markedjs/marked
swc-project,swc,26900,https://github.com/swc-project/swc
vercel,pkg,23100,https://github.com/vercel/pkg
ziglang,zig,21100,https://github.com/ziglang/zig
v8,v8,21000,https://github.com/v8/v8
AssemblyScript,assemblyscript,15400,https://github.com/AssemblyScript/assemblyscript
typst,typst,15200,https://github.com/typst/typst
nim-lang,Nim,14900,https://github.com/nim-lang/Nim
RustPython,RustPython,14700,https://github.com/RustPython/RustPython
